[-21, -24, -17, 31, 32, -28, -43, 51, 14, -46, 20, -17, 35, -9, 43, -47, 9, 25, -10, 19, -33, 11, 19, 7, -39, 37, -43, 19, -13, 11, -12, -21, 1, 39, 19, 11, -34, -18, -13, -87, -17, 33, -58, -48, -16, 7, 11, -16, 10, -27, -64, 18, -34, -12, 26, -22, 25, -11, -7, 2, 6, 16, -1, -11, -26, 35, 6, -7, -46, 4, 20, -33, -9, -33, 0, 6, -4, -1, -8, 17, -47, 19, 12, -1, 56, 22, -24, 28, 71, 45, -93, 48, 24, 5, 9, 29, 4, 13, 2, -60, 27, 25, -2, 63, 13, -19, -19, -34, -12, -21, 15, 50, -52, -70, -1, 23, 22, 12, 6, -4, -10, 40, 11, 14, -30, -34, -30, 18, 11, 35, 50, -41, 25, 19, -17, -14, 29, -42, -8, -8, 9, 34, -41, -50, 4, -25, 24, -66, -42, -10, -46, 19, -10, -4, 25, -21, 6, -40, 3, 31, 9, 6, -6, 7, 36, -58, 45, -52, -20, 36, -18, -14, 23, 7, 4, -10, -29, -43, -24, -46, 6, -67, -6, 34, -23, 12, -4, 44, -3, 57, 41, -24, 25, -21, 6, -7, 5, 12, 29, -36]
[24, 6, -37, 4, -21, 29, -5, 15, 19, -59, 10, -20, -10, -40, 40, -13, -35, -15, 57, 24, 4, -4, -26, 24, -45, 41, 18, -71, 47, -25, 3, 78, 38, 8, 37, -13, 26, 8, -56, -7, 3, -12, -8, -40, -43, -1, -66, -11, 2, 4, -57, 3, 15, 27, -42, -55, 30, 35, 27, 58, -4, 25, 2, 5, -3, -6, -11, 5, -23, -39, -27, -4, -26, -13, -4, -53, 11, -31, 32, 15, 20, -15, 43, 19, 33, 10, -20, 50, 28, -14, -56, 28, 42, 48, 39, -27, 18, -21, 31, 9, 27, 57, -5, -18, 2, -20, -4, 17, 6, -40, -10, 9, -12, -10, -21, -19, -4, -24, -13, -19, 8, 5, -6, 30, 3, -9, 11, 21, 5, 87, -33, -38, 31, 9, -15, -34, 18, -55, 2, -33, -14, 51, 0, -22, -16, -14, -3, -65, 11, -56, -25, -29, -13, 21, -34, 0, 26, -39, -9, -29, -55, 19, -76, -10, -55, 33, 62, -15, 22, 4, -44, 33, 41, -48, -23, -15, -23, 39, 17, -9, 36, 31, 13, -6, -73, 28, -55, -10, -7, -5, 15, -34, -34, 30, -6, 13, 43, -9, 50, -19]
[4, 45, 8, -1, 22, 28, -21, 20, -18, -16, -2, -36, -54, -28, -13, 9, 3, -9, 28, 0, -18, 24, -60, 2, -49, 36, 25, -85, -36, -19, -14, 41, -10, -45, 40, -2, -23, 57, -39, 4, 21, 1, 61, 7, -8, 14, -19, 12, -14, 27, -6, 14, 48, 6, -22, -47, -19, -26, -4, 19, 43, -12, 18, -12, -47, 23, -53, 2, -5, -12, -31, -12, -16, 26, -20, 16, 29, -64, 29, -7, -28, 10, 74, -6, -12, 30, 24, 4, -30, -17, -1, 10, 3, 78, -8, -20, 21, 1, 17, 26, -7, 83, -17, -58, -2, -51, -32, -4, 20, -7, -21, -2, 23, 19, -38, 18, -26, 18, 0, -50, 2, 3, -24, -7, -32, -41, 9, 63, 13, 16, 8, 48, -12, -29, -24, -2, -70, -33, -43, -15, -58, 2, 7, -16, -43, 17, -60, 12, 69, -18, 61, -49, 41, 53, 18, -40, -25, 0, 1, -54, -4, 11, -7, -24, 25, 13, -9, 68, -24, -2, 13, 7, -63, -20, 26, 11, -13, -24, -7, 33, 14, 91, -11, 16, -42, 13, -127, -43, -14, 0, -53, -16, 3, 1, -6, 35, 1, -3, 79, 16]
[-25, 21, -19, -24, -11, -4, -59, 23, -65, 4, 61, 28, 73, 4, -34, -26, 67, -16, -76, -12, 6, 15, 43, 7, 21, -30, -43, -28, 6, 19, -16, -81, -48, 38, -15, 0, -48, -23, 30, -12, 22, 35, -12, -26, 9, 0, 28, 1, 6, -19, 15, -30, -1, -37, 33, 5, -7, -36, -15, -90, -19, -17, -21, -17, -30, -16, -14, 15, -41, 74, -23, -10, 41, 25, -18, 5, -15, -36, 20, -35, -21, 30, 31, -21, 3, 40, -39, -16, 29, 34, 12, -54, -9, -6, -59, -8, -3, 35, -20, -29, -19, 24, -22, 43, -90, -42, -29, -75, 40, 3, -28, -27, -8, 37, 26, 5, -3, 45, 98, -30, -6, 27, 76, 16, -37, -23, -3, -26, 25, -48, 3, 30, -8, -47, 22, 35, -41, -29, 2, -4, -28, -22, 11, -97, -37, 30, -10, -33, 1, -9, 9, 44, 42, -3, 94, 59, -2, 32, 3, 26, 30, -28, 31, -7, 73, -42, 21, 83, -40, 56, 15, -9, -21, -28, 67, -10, -9, -52, -32, -26, 5, -54, -39, -10, 17, -10, 3, 23, -48, 49, 17, -23, 31, -37, -10, 15, -52, -64, 56, -10]
[-6, 65, 7, -93, 5, -6, -4, -19, -33, -21, 54, 44, 48, -19, -31, 28, 5, 12, 3, 28, -12, 0, 28, 1, 38, -17, 7, -24, -21, -17, 16, -41, -39, 48, -27, 4, -60, 28, 68, 3, 5, 36, -56, 19, 5, -12, -3, 23, 46, -4, 31, -43, -25, 22, 30, 6, -12, 5, 21, 3, 5, -11, 23, -16, -30, -34, -51, -19, 6, 10, 58, 13, 3, -4, -49, -21, 20, 26, -16, -43, -16, -14, 34, 32, 34, 47, 44, 0, -15, 25, 21, -54, 0, -67, -63, -39, 16, 76, 26, -53, -4, 42, 6, -45, -11, -41, -3, -32, 53, 38, -14, -9, -18, -17, 18, 44, -15, -31, -31, -15, 94, 19, 16, 35, -17, 2, -6, 31, 15, -45, 1, 31, 23, -17, 50, 33, -5, -18, 23, -2, -27, -9, -21, -49, -25, 44, -17, 1, -2, -35, 17, 8, 30, 25, 81, 39, -6, -8, -6, 42, 23, -26, 6, -51, 47, -43, 36, 17, 23, 18, -29, 3, -76, -18, -40, -17, 45, -20, 31, 15, 46, -46, 10, -61, 26, -40, -5, 12, 26, 52, 5, 16, 34, -50, -14, 3, -21, -1, -25, -3]
[44, -63, 39, 18, 30, 13, 78, -3, 1, -16, -67, 46, 21, 4, 6, 56, -26, -16, 9, 21, -13, -29, 5, -16, 23, 2, -5, 104, 7, -21, 21, -1, 45, 30, -20, 14, 8, -18, 13, -61, 24, -66, -34, 43, -23, -9, 17, -12, 7, 20, 33, 26, -42, 21, -1, 16, 19, 49, -18, 24, 0, -36, 30, -14, 32, -47, -32, 3, 13, -38, 25, -24, 39, -59, -27, -5, 30, -9, -33, -23, 44, -19, -36, -5, -24, -54, 20, -8, -58, 12, -20, 53, 34, -95, -4, -34, 26, -14, -2, -9, 4, -41, -35, -48, 49, 24, 12, 12, -37, 6, 39, -7, 3, -49, 7, 20, -11, -93, -69, -21, 31, -69, -45, 24, -30, 26, 21, -23, -6, -36, 51, -47, -4, 49, 20, 31, 42, 18, 22, 8, 12, 68, -1, 77, -15, 35, 2, 26, -23, 39, 12, 3, -4, 6, -39, -17, -32, -56, 19, 49, 35, 41, 17, -30, -48, -44, 7, -56, -19, -29, -10, -21, -38, -30, -52, 28, -15, 1, -7, 57, 11, -25, 24, -3, -19, -32, 22, 57, 26, -45, -5, 29, -53, -66, 36, -3, -12, 38, -109, -10]
[90, -27, -52, -36, 0, 15, 81, -49, 54, 5, -7, 81, -14, -19, 25, 59, -60, 0, 35, 17, 6, -46, -4, 3, -21, 70, 16, -13, 50, -20, 41, 66, 47, 61, -3, 17, 3, 10, -9, 39, 9, -4, -14, -7, -59, -61, -31, -41, -49, 30, 1, -57, -44, 32, -9, -40, -5, 56, -9, 54, -15, -21, -15, 30, 16, -58, -1, -12, -21, -61, -23, -23, 6, -49, -2, -80, 23, 12, 1, -34, 45, -42, -49, 23, 37, 10, 45, -18, -1, -27, -55, 20, 14, -56, 13, 19, 22, 9, 77, -16, 2, -40, -63, -44, 14, -57, 21, 12, 56, 33, -9, 44, 4, -48, -20, 37, -12, -61, -75, -11, 44, -26, -17, 42, 29, 32, 66, 51, -35, 9, -1, -68, 67, 45, 44, -13, 44, 37, 20, -32, 57, 33, 56, -1, 17, -15, 22, 34, -4, -43, -26, -12, -27, -21, 5, 12, 15, -31, -12, -30, -7, 24, -80, -54, -25, 13, 58, -65, 24, -40, 46, -1, 19, -7, -69, -19, -15, -6, -37, -5, 22, 11, -10, 8, -19, 5, -4, 13, 77, -12, -35, 2, -43, 2, -23, -11, 129, 11, -44, -28]
[-1, 24, 6, -26, -39, 14, 5, -14, -40, -36, -54, -8, -18, -2, 27, 52, -40, -29, 36, -19, 15, 31, 20, -24, 50, -34, -4, 3, -31, 12, -46, 16, 27, 4, -14, 5, -17, 13, -26, 32, 14, -50, -12, 45, 32, 7, -21, 71, 12, 0, 23, -6, -50, 21, -55, 21, 3, 31, -37, 13, 8, 13, -6, 17, 10, -44, -12, 8, 46, -48, 13, 68, -29, -20, -52, 21, 9, 23, -9, 19, 25, -32, -38, 52, -70, 18, 25, -23, -49, -7, 61, -31, 18, -66, 10, -69, -6, -20, -6, -15, 8, -13, 60, -18, 15, 72, 2, 37, -54, -33, 28, 22, -18, 38, -19, -19, 17, -80, -100, -2, 22, -35, -49, -29, 3, 28, 18, -84, 16, 5, -38, 15, -32, 10, 6, 24, 40, 45, 55, 13, 12, 13, -57, 34, 1, 50, -28, 33, -23, 25, 18, 5, -10, 71, -32, 28, -21, 35, -14, 0, -13, 60, 13, 35, -80, 13, 23, -28, 61, 12, -9, 8, -57, -13, -52, 29, 13, 70, 42, 34, 51, 18, 69, -75, -21, -20, 21, -90, -45, -25, 24, 18, -84, -2, -41, 21, -28, 48, -43, 41]
[19, -66, -54, 10, 24, 31, 31, -32, -11, -14, -10, 52, 53, -12, -19, -27, -24, 8, 9, 14, 13, -16, 67, 61, -47, -36, 51, -13, 76, 11, 50, 63, 8, 96, 30, -25, 11, -93, -30, -24, 26, -25, -1, -53, -71, 7, -6, -71, -21, -16, -10, -25, 14, -3, -6, -70, 31, -3, -35, -16, -50, -41, -47, -5, 17, -22, 7, 59, -29, 3, -43, -7, 19, -12, 10, -43, 34, -53, -13, -20, 68, 11, 16, -34, 55, 6, -58, 25, 29, -4, -104, -19, 2, 51, 58, -33, -8, -7, 12, -14, 10, 5, -29, -4, -39, -43, 17, 21, 18, -39, -8, -66, 56, -1, 11, 8, -6, -107, 10, -29, -24, 38, 57, 16, 0, -19, -4, 21, 32, 36, 0, -57, -11, 3, -28, 44, -11, -72, 27, -51, 96, 50, 81, -8, 12, -28, 35, -44, -28, -23, -35, -21, 25, -51, 2, 17, -10, -45, -40, 55, 35, 13, -96, -34, -18, 55, 100, -42, -46, -47, 27, 1, 93, -55, 26, -6, -41, -39, -28, 13, 36, -7, -25, 21, -8, 34, 7, 37, -16, 64, 11, -14, -4, 10, 4, 37, 9, -29, 0, -1]
[-35, -35, 74, 33, 62, 9, -7, -42, 14, 17, 3, -49, 35, 55, 9, -89, 40, 35, -2, 21, -24, 2, 36, 24, 4, -54, -4, 56, -10, 74, 26, -40, -57, 35, 29, -14, 27, -52, 7, -31, 0, 29, -18, 25, -25, -1, 46, -93, 37, -18, 0, 50, 40, -2, 31, 2, 40, -31, -30, -2, -48, -29, -22, -62, 24, 36, 26, 54, -18, 16, 70, -5, -41, -41, 15, -8, -7, 22, -41, 69, 8, -30, 40, -2, 53, 13, -29, 14, 17, 21, -25, -22, -25, 29, 20, 8, -4, 34, -39, 3, 65, -15, 55, 45, 27, 45, 55, 24, -72, 37, 31, 32, 0, -74, 19, 11, 44, 0, -45, 36, 6, 62, 23, -5, 11, 19, -89, 28, 13, -18, 49, 7, 4, 18, -36, -14, 14, -50, -7, 27, 109, -3, -1, 100, 32, 2, 30, 19, -82, 32, -77, -20, -10, -58, -22, 3, 50, -41, -26, 65, -7, -21, 36, 47, -22, 40, 10, -37, 19, 15, 5, 68, 39, 33, 30, 3, 57, -2, 57, 1, -41, -80, 43, 26, 56, -63, 70, 16, 17, 60, 40, 25, 31, 31, 21, -43, -77, 44, -39, -31]
