[26, -55, 27, 1, 2, 4, 26, -28, 0, 9, -3, 17, -7, 46, 9, 32, -35, -45, 36, -48, 7, -3, 3, 7, 3, -28, -36, 75, 37, -27, -18, 14, -16, 18, -32, -10, 3, 51, -22, 13, -21, 32, -38, -13, 29, -5, 3, 17, 56, -29, -11, 2, -49, 55, -27, -54, -5, 8, 7, 8, 25, 24, -10, -38, 22, -5, 43, -19, 3, -12, 40, -37, -1, 19, -25]
[-46, 71, -56, 17, 53, 8, 8, 54, -33, 0, 23, -13, 28, 15, 2, 45, -29, 49, -45, 13, -23, -21, 19, 35, -29, 40, 25, 12, -13, 32, 42, 3, 13, -36, 17, -50, 21, -21, -11, 26, 13, -22, -11, -4, -5, 22, 3, 1, -17, -60, -4, -42, 63, -47, 1, 24, 13, 12, 3, -9, 18, -13, 21, 15, -33, 59, -27, -10, -36, -36, 1, 37, 35, 53, -14]
[24, -102, 16, -17, -20, 45, -11, -12, 64, 6, -23, 16, -61, -1, -2, 11, -29, -15, 25, -82, 22, 24, -9, -55, -12, -15, 9, 29, -15, -19, -33, -17, -4, -14, 10, -24, -22, 75, -36, 5, 0, 29, -14, 13, 61, 58, 27, 14, -5, -11, 19, -26, -9, 38, -31, -14, -2, 10, -26, -5, -14, -23, 68, 9, 61, 2, 47, -5, 27, 9, -8, 22, -31, -28, 22]
[5, 18, 24, 35, -4, 19, 6, 0, -11, -3, -35, 17, -29, -33, -10, -45, 2, -71, 8, 53, 3, 10, -36, 29, 16, -71, -5, 48, 15, -16, -52, 36, -41, -15, 8, -6, -3, 46, 24, -51, 14, 38, 10, -39, -54, -23, 16, 26, 8, 53, 16, 25, -21, 9, -88, 11, -28, 24, 2, -15, 3, -20, -39, 4, 7, -42, 49, -8, -6, -30, -2, -15, 10, -57, 1]
[-29, 10, 31, -33, 18, -5, 9, -8, 50, 37, -5, -38, -9, -13, -17, -20, -15, 50, 17, -35, -7, -40, -1, -14, -5, 71, -8, -6, -51, -6, 50, -100, 29, -37, -21, -2, -34, -2, -14, 47, -33, -4, -19, -20, -1, 13, 15, 31, 6, 14, -41, -63, 14, -19, 82, 12, 30, -1, -3, -39, 27, -10, 28, 26, 7, -7, -16, -25, -2, -27, -18, -19, -12, 63, -53]
[60, -11, -53, -26, -12, -31, 39, 5, -32, -28, -18, 30, 47, 38, 17, -5, 43, -67, 6, 21, -17, -20, 13, 24, -33, 15, -28, -62, 17, 1, -1, 14, -31, 41, -56, 62, 23, -18, 38, -5, 29, 42, 68, 50, 62, -12, -27, -19, -6, 12, 9, 25, 43, 35, -6, -5, -11, -8, -7, -12, -26, 19, -63, -26, -56, 6, -3, 5, -14, 37, 53, 27, -49, 1, -4]
[26, 22, -33, 31, -7, -36, 26, -2, -1, 11, -3, 25, 31, 12, -37, 36, 7, 35, 13, -38, 45, 15, -34, 29, -43, -5, -5, 30, -55, -55, 32, -52, -11, 30, -29, 46, 36, -14, 2, 30, 1, -52, -6, 49, 31, -12, -28, 6, 10, -41, 39, -22, 24, 19, -3, 16, 15, 11, -3, 6, 25, 27, 9, -21, 12, 10, -10, 30, 21, 75, -28, 13, 8, 93, 22]
[-38, 5, -35, -6, -1, 6, -9, -9, -13, -1, 12, 7, -12, -47, -53, 26, 50, 28, -33, -22, 11, 5, -15, 32, -47, -90, -2, -13, -36, -35, -23, 37, 2, 1, 31, -8, 30, -48, -7, 40, 25, -71, 28, 17, -20, -43, -12, -8, 2, -68, 81, 4, 29, 0, -22, 57, -28, 32, -32, -31, -23, 55, 43, 30, -8, 38, -55, -3, -23, 41, -20, 67, 23, -30, 75]
[-29, 25, 13, -14, -36, 20, -17, 35, 2, 2, 25, -22, -31, -17, -15, 36, -15, 45, -53, 6, -67, 12, 28, -39, 58, 15, 30, -32, -60, 39, -40, -11, -16, 14, 66, -34, 7, 7, -41, -39, -38, -9, 10, 32, -17, 33, 2, 0, -73, 16, -11, 0, 33, -36, 50, 45, 23, -28, -7, -8, -12, 64, -23, -24, -8, 28, 7, 5, 14, -55, 18, 5, -10, -2, -38]
[4, 41, -59, 38, 50, 10, -24, 2, 55, -34, -6, 49, 25, -18, -28, -19, -13, -6, -28, 14, -11, 17, -65, 39, -33, -5, 20, -26, -32, 1, 41, -27, 12, -66, -22, -11, 7, -32, 1, -3, 28, -33, 10, 46, 16, 62, -47, 63, 36, -29, 22, -40, 65, 0, -20, -33, -17, 56, -44, -6, -45, -13, 38, 66, 22, 19, -41, -31, -30, 47, -41, 38, 28, 64, 27]
[-31, -60, 37, -25, -2, 24, 22, -37, 89, 6, -87, 14, -40, -49, -24, -68, -25, -44, -40, -71, -24, -18, -3, -7, 66, -47, 3, -21, -9, 25, -30, 29, 14, -44, 51, -40, -78, 32, -2, 14, 36, 38, 31, -29, -9, 5, 61, 43, 46, 46, -22, -4, 14, 42, 5, -40, -3, -21, -22, -33, -28, -2, 20, 82, 41, 2, -8, -85, -49, -4, 20, -23, -59, -11, 3]
