[14, 4, -10, -50, -49, -38, 56, -34, 44, 32, -14, 0, -14, -34, -13, 3, 14, -17, 22, -20, -35, 30, -41, 4, 11, 9, -10, 8, -17, -3, -7, 16, 24, 9, 14, 11, -12, 18, 24, 31, -25, -4, 59, 48, 18, 13, -1, -9, -19, -24, -18, 21, 8, -7, -35, -21, -19, 8, 14, -29, -12, -22, 21, 15, 7, -5, -8, 11, 14, -8, -19, -26, 12, -15, -18, -17, 7, 25, 18, 29, 19, -29, 5, -30, 46, -11, -24, -1, 7, -16, 1, -7, -15, -25, 9, 11, -23, -15, 0, -12, -1, 10, 1, -12, -29, -21, 8, -45, -38, -26, -4, -11, 21, 34, 21, 4, 38, 19, -3, -9, 14, 5, 20, -16, -33, 17, 36, -36, -21, -5, -7, -41, 26, -32, -12, -21, -3, 9, 20, 9, -2, -14, 8, 9, -25, -26, -18, -22, -10, 27, 12, -41, -16, 14, 3, 10, -18, 29, 22, 25, -4, -31, -11, -16, 4, -26, 2, -4, 7, -7, -26, 21, -2, 33, 29, -1, -6, 19, 2, 11, 2, 10, 10, -31, 10, 0, -12, -8, 1, 47, -40, -30, -10, 18, 12, 9, 14, 13, -11, -10, 6, 18, 8, -11, 3, -18, -4, 16, 7, -19, 3, 10, -22, -15, 5, 14, 23, -12, -10, -2, 21, 4, -26, 19, 7, -33, -1, 11, -4, -19, -31, -13, -2, 0, -7, -16, -8, 29, -14, 26, 15, 18, 27, -5, -8, 16, -27, 4, -8, 1, 8, 0, 0, -25, 0, 27, 19, 0, -33, 0, 0, 0, 28, 0, 0, 0, 0, -28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[-2, -5, -5, -56, -11, 16, 16, -48, 21, -1, 28, 10, 30, -17, -13, -19, -30, 29, -4, -22, -4, 29, -8, -6, -7, 17, -14, 21, -18, -18, -3, 0, 33, 12, -20, 7, -25, 26, 24, 3, -21, 6, 18, 18, 19, 7, -14, 53, -28, 28, -23, 9, -27, -21, -8, 3, 7, 15, 19, -18, -20, -19, 2, 34, -2, -5, 2, -30, -13, -7, -17, -7, 19, -37, -10, -20, -9, 16, 32, -6, 22, 12, 16, -3, 21, 7, -33, -34, 55, -22, 3, 15, -15, -39, -18, -4, -20, -12, -59, 7, 11, 13, 32, -26, -16, -17, 36, -7, 1, -4, -1, -11, 49, 17, -6, 14, 37, 4, 32, -11, -17, 20, 1, 23, 21, -5, 19, -31, 5, 9, -16, 6, 33, 10, -9, -5, -21, 15, -5, 33, -27, -1, 31, -31, -29, -8, -21, 7, -2, 28, 44, -35, 22, -46, 4, 30, -29, 42, 21, 36, 23, -18, -61, 26, -11, -25, -1, 10, -13, 23, 19, 14, 17, -4, -10, -4, 31, 16, -15, -39, -28, 12, 9, -1, 35, -10, -13, 18, -22, 13, -11, -7, 31, 11, -1, 10, 4, -26, -12, -22, 28, 22, -12, -39, -24, -1, 10, 30, -15, 3, -18, 10, -1, -19, -25, 31, -8, -39, 19, 10, -1, -9, -20, -9, -26, -18, 2, -31, 15, -12, 2, 14, 8, 0, -5, 24, -7, 2, -3, -10, 54, 33, 48, 25, -39, 7, -41, 17, 0, -24, 20, 0, -34, -30, -2, 16, 10, 0, -57, 0, 0, 0, 18, 0, -15, 19, 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[10, 49, 16, 28, 51, -2, -18, 38, -10, -8, -53, -35, -21, 19, -13, 12, -15, -6, 8, -16, -29, -13, 10, -36, -16, 1, 2, 6, -2, -11, 30, -2, -25, -24, 42, 2, 27, -25, -22, -10, 40, -27, -2, 5, 12, 18, -22, -8, -1, -32, -3, -6, 21, 17, 36, 32, -19, 16, -25, 33, 42, 22, -41, -9, 7, 5, 1, 31, 38, -17, -24, 27, 5, -5, 8, 29, 7, 6, -9, 15, -2, -5, 18, 20, 17, 33, -9, 27, -49, 9, -29, -35, 21, 29, -7, -19, 4, 9, 12, -1, 11, 14, -25, 37, 18, -3, -2, 13, 18, 7, 9, 15, -13, 6, -7, -15, -11, -12, -8, 0, -2, -9, 9, 3, 27, -34, -45, 1, 12, -15, 20, 15, 0, -9, 38, 18, 29, -7, -2, -3, 69, -12, 10, 24, 28, 11, 2, 4, -28, 6, -9, 27, -24, 5, -12, -7, 2, -18, -5, -1, 19, 16, -19, 12, 6, 51, 13, -20, 16, -7, -25, -33, 0, -33, -27, -38, 27, -41, 13, 12, 3, 4, 7, 6, -15, 34, -15, -1, 34, -28, 36, 0, -24, -42, -1, 0, -26, 14, 16, 17, -10, -38, -28, -9, 6, 18, 8, -53, 12, 36, 18, -25, -11, 8, 32, -17, -32, 29, 5, 5, 16, 9, 46, 5, 18, -11, -15, -27, -29, 35, 2, -14, 6, 0, 12, 22, -24, -40, -12, 3, -47, -21, 0, 3, -32, -4, 12, -19, 11, -12, -30, 0, 11, 34, 3, 2, -15, 0, 26, 0, 0, 0, -48, 0, 24, 3, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[-20, -20, -29, 29, -10, 17, -4, 22, -23, -15, 44, 8, 1, -5, 76, -5, -19, 17, -43, 25, 18, -6, -9, -11, 9, 11, 20, 7, -6, -6, -23, -15, -7, 2, -38, -8, 16, -20, -1, -40, 19, 0, -41, -47, 12, -31, 57, 1, 28, 16, 7, -27, -8, -8, -10, -15, -3, -54, 25, 2, -36, 8, 16, -35, -27, 8, -20, 11, -27, 4, 61, 29, -46, 1, 50, 11, 8, -37, -28, -35, -4, 40, -24, 7, 1, -62, 12, 9, 18, 27, 25, 15, -17, -8, 19, 16, 21, 1, 25, -13, -14, -22, 0, -18, 10, 25, -13, 21, 16, 43, 0, -2, 12, -56, -3, 3, -44, -21, 20, -14, 4, -17, -35, 2, 29, -1, -20, 11, -23, 21, 15, -24, -4, 29, -27, -29, -16, 10, 6, 24, -16, 25, -14, -36, 34, -20, -8, 3, 11, -25, 24, 17, -12, 24, 29, 14, 24, -28, -7, -15, -42, -5, 23, 19, 6, -14, -20, 2, 2, 24, 37, 2, -7, 2, -19, 36, 9, -5, -11, -27, 1, -26, -18, 29, -20, -5, 15, 14, -25, 10, 23, 34, 35, 2, 12, -27, 5, -9, 22, -35, 16, -43, 2, -34, -1, 22, 1, -7, -29, 8, -12, 2, 14, -15, -35, -12, 1, 13, 14, -4, -3, -19, -6, -10, -31, 13, 38, -26, 32, -6, 3, 7, 25, 0, -20, 42, 21, -17, 43, -26, 33, -12, -26, -14, 3, 21, 14, 29, -12, -1, 15, 0, -16, 4, 0, 30, -29, 0, 16, 0, 0, 0, -33, 0, -60, -20, 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[-6, -9, 9, 34, -17, 9, -12, -20, 0, -28, 47, 1, 5, 20, 4, 11, -12, -28, 9, 40, 19, 24, 7, 8, 3, -1, 36, -24, -1, 27, -11, -27, -6, 9, -15, -32, -6, 41, -23, -23, 16, 3, -3, -14, -20, -20, 12, -5, 7, 34, 50, 19, 10, -40, -5, 30, 10, 7, 21, -17, -3, -4, 8, 19, 6, -43, -7, -13, 5, 52, -8, -6, -15, 39, -21, -2, 8, -5, -35, -11, -9, 12, -35, 4, -31, -37, 37, -29, 44, 0, 33, 21, 9, 36, -8, 17, 11, 12, -13, -1, -21, -3, -10, -14, 5, 23, -22, 19, -14, 22, 16, -13, -16, -60, 46, 3, -6, 0, -48, 42, -25, 18, -11, -4, -32, -8, 16, 17, 42, -21, -29, 52, -28, 1, -22, -4, -12, -26, -16, -11, -8, 21, 2, 6, -26, -15, 12, -41, 24, -38, 24, 2, 48, 30, -51, -42, 2, -3, -4, -29, 14, -6, 37, -39, 36, -3, -5, 13, -34, -7, -7, -9, 11, 9, -6, 12, -50, -22, 8, 38, 46, -12, -10, 10, -2, -49, 13, -6, -60, -20, 14, -13, 22, 36, -5, -9, 28, 9, 1, 4, -8, -23, 16, 33, 19, -13, 14, -6, -13, -9, -39, -6, 6, 26, 11, 5, -3, -10, 32, 16, -2, 15, 24, 2, 22, 38, -8, -6, -6, 4, 4, 3, -43, 0, 4, -33, -9, -16, 11, 7, -46, -12, -21, -6, 33, 2, -6, 18, 5, -2, 1, 0, 14, 2, 1, -28, 20, 0, 9, 0, 0, 0, -10, 0, 10, 10, 0, -16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[-9, -25, -44, -13, 24, 0, -1, -1, 38, 21, -39, 25, -30, -42, 9, 30, -12, 4, -4, -5, 42, 13, -12, 30, 46, 31, -18, 9, -4, -15, 1, 9, 31, 22, -40, 12, -6, -11, 33, 0, -19, 22, 33, 1, 6, -39, 5, 4, -5, -9, -23, -17, -19, 9, -15, -41, 17, -32, -2, 3, -35, -18, 22, 12, -26, 29, 3, 2, 1, -3, 13, -42, -23, -40, 0, -22, -14, 25, 20, 5, 32, 8, 24, -14, 28, 13, -46, 13, 10, -64, -20, 34, -9, -60, 41, 15, -12, -30, 16, 30, 26, 16, 29, 13, 5, -1, 12, -23, 9, -28, -13, -59, 4, 1, 5, -3, 13, -5, 49, 25, 17, -26, -4, 21, -4, 25, 49, 8, -32, 33, 6, -38, -16, 5, 24, 2, -50, -10, 14, 3, -38, -15, -30, -23, -9, 4, 30, -7, -4, -17, 31, -13, -26, -43, 43, 28, 0, 11, 21, -6, 0, -26, 0, 22, -31, -47, -27, -16, -4, 24, 20, 35, 11, -3, 46, 23, 0, 39, -23, -36, -31, 8, -10, -31, -12, 17, 29, 6, 34, 34, -16, 9, -3, 38, 9, 3, -6, -34, 39, -28, -5, 4, 20, -16, -9, -9, 14, 29, 10, -8, 8, 27, -18, -26, -16, 0, 45, -13, 8, -30, -9, 2, -40, -15, -16, -42, 43, -27, 17, -8, -17, -3, 47, 0, 3, 51, 11, 6, 3, -19, 34, 21, 32, 16, -36, 12, -46, -7, 4, 5, 34, 0, -10, -48, 2, 34, 8, 0, -19, 0, 0, 0, -8, 0, -23, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[-7, -31, -34, 9, 14, -7, 3, -32, 4, -19, 35, 19, -13, -19, 21, -19, -11, -35, -3, 25, 13, 7, -60, 21, 10, -4, -3, -16, -14, -39, 6, -17, -11, -32, 41, -23, -5, 7, 7, 7, -17, -14, -12, 7, -27, 6, -3, -18, 11, 33, 21, -15, -18, -36, -18, -10, 5, 3, 23, -21, -13, -23, 27, 40, 15, -14, -45, -14, -10, 59, 14, 18, -11, -6, 2, -35, -36, 11, 17, -28, 22, 53, 10, -16, 5, -31, -26, -4, 35, -41, 29, 33, -18, 5, 10, 10, -30, 5, -15, 11, -20, -4, 46, -19, -22, 31, -13, 6, 13, 17, 47, -24, 16, -25, 17, 9, 8, 10, 31, 16, -35, -5, 0, 7, -16, -30, 16, 16, 20, -24, -3, 5, 9, -2, -48, -18, 6, 12, 12, -51, -7, 13, 9, -25, -24, -55, 16, -22, -6, -26, 6, -33, -4, -10, 7, -15, -21, 6, -2, -8, 1, -17, 6, 6, 6, -13, 25, -8, 10, -2, 1, 23, 29, 6, -23, 22, -31, -1, -28, -6, 4, 2, -18, -23, 16, -2, 14, 3, -17, 26, 4, -17, 20, 17, 2, -17, 7, 4, 24, 5, -16, 16, 27, -20, 20, -36, 17, 7, 30, -47, -11, 26, -21, 1, 3, 7, -1, -33, 36, -12, 7, -12, 1, -14, 4, -7, 27, -44, 6, -26, -52, 21, 10, 0, -15, -24, -8, 14, 7, -46, -9, -17, -14, -23, -21, 14, -53, -4, -12, 9, 20, 0, -2, 18, 10, 12, 33, 0, 0, 0, 0, 0, -9, 0, -11, 13, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[-20, -28, -23, 12, 8, 24, -8, -57, 4, -53, 37, 20, -12, -12, -9, -17, -1, 23, -22, 32, 21, -15, -20, 14, -33, -13, -20, -1, 20, 3, -7, -10, 24, -26, 19, -33, -1, 23, 27, 1, -3, 28, -33, -11, -18, 3, -37, -16, 14, 42, 20, -18, 3, -36, -14, -1, 36, -9, -7, -21, 4, 1, 35, 15, 48, -35, -29, -20, 8, 39, -2, 6, 16, -21, 2, 0, 15, -23, 12, -54, -3, 56, -11, 17, -17, 18, -9, -27, 35, -6, 19, 4, 15, 19, -17, 9, -21, 7, -52, 29, -4, 1, 31, -42, -7, 3, -10, -11, 19, 42, 25, 10, -8, -9, -9, 48, 2, 24, 23, 12, -25, 34, -6, 9, -17, -25, -18, 30, 48, -30, -3, 44, 8, -34, -9, -19, -7, -28, -6, -16, -7, 10, 1, 8, -8, -9, 21, 13, 0, 7, 5, -32, 45, 16, 42, 7, -10, 17, 1, -19, -16, 18, 17, 0, 20, 17, -5, 16, -10, 9, 4, -15, 49, -30, -13, -21, -12, -10, -26, 27, 20, -3, -43, 7, 9, -37, 35, -2, -31, 12, 14, 18, -7, 5, -13, -13, 30, 8, 10, 15, -31, 37, 19, 11, 28, -11, 10, 5, -17, -36, -14, -15, 20, 0, 2, 2, -21, -38, 19, 10, -6, -23, 2, -14, 1, 31, -15, 3, -6, -1, -30, 53, 20, 0, -8, -45, 2, 2, 12, -15, -50, -27, -20, -13, -6, -24, -2, 13, -8, -2, -10, 0, 40, -12, 8, 0, 42, 0, 5, 0, 0, 0, 29, 0, -3, 8, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[-46, 9, -4, 3, -8, 20, -16, -28, -7, 11, -19, -8, -15, -15, 17, -4, 6, 34, -4, 15, 7, -4, -9, -53, 7, 6, -10, 38, -17, 9, -23, 9, 30, 30, -33, 11, 23, -9, 2, -40, 35, 36, -3, -18, 24, -24, -2, 53, 6, 19, 4, -13, 11, -15, -5, 7, 35, -30, 26, 3, -19, 10, 14, 21, -1, -15, 46, 1, 23, 14, -12, 19, -26, -25, 38, -25, 26, 5, 0, -8, -4, 16, -7, 35, 12, 12, -18, -3, 42, -16, -5, 7, 31, -22, -26, 7, 4, -8, -5, 10, 17, 25, -8, 2, -4, -16, 17, 8, -1, 7, -11, -12, 8, -38, 33, 3, -15, 2, 16, 2, 33, 13, -18, 35, 16, -28, -23, 16, 19, 54, 26, -9, 20, -10, 28, 3, -30, -39, -15, 59, -8, -15, 10, 5, 49, -13, 2, 29, -25, 33, 51, -18, 31, 4, 4, 45, 12, 19, 9, -16, -19, -7, -14, 23, -20, 9, -27, -3, -38, 12, 17, -3, 17, -78, -19, -33, 18, -20, -9, -16, -9, -15, 13, 9, 3, -4, -5, 0, -23, -37, -13, 33, -19, -3, -6, -22, 2, -13, 3, -16, 9, -47, -14, -21, -19, 6, 17, -10, -44, -4, -8, -29, -21, -31, 21, -30, -19, 19, 15, 18, 18, 10, -21, -53, -34, -3, -4, 0, -6, 63, 10, 13, 29, 0, 20, 80, 5, -26, 12, 6, 12, 14, 30, 18, -43, -41, 3, -15, 5, -14, -5, 0, 30, -32, 8, 21, 3, 0, -23, 0, 0, 0, -27, 0, -19, -3, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[11, -31, -40, -3, -19, -4, 20, 17, -15, 0, 43, -18, 19, -6, -36, 0, 43, 9, -3, 12, -32, -12, -9, 35, -22, -18, 4, -8, 3, -18, -9, -20, 22, -30, 59, -10, 29, -13, -7, 14, -5, -21, -22, 1, -50, 45, -27, -39, 19, -16, 13, 6, -3, -3, -35, -42, 26, -20, 12, -9, 0, -11, 24, 12, 25, -32, -21, 14, -6, 9, -20, 14, 14, -19, 12, -15, 3, -18, 30, -13, 7, 3, 12, -3, 6, -16, 9, 8, -5, 16, 0, -28, -24, 28, -21, -14, -30, 33, 27, 22, -36, -29, 44, -5, -39, 11, 8, -30, -4, 30, 4, 1, 7, 46, -8, -9, -5, 13, 2, -13, -13, 17, 20, -38, 13, 24, 17, -9, 21, 22, -16, 12, -8, -43, -25, -3, 27, 12, 2, -35, 19, -26, -3, 4, 7, -13, 12, 1, -33, -2, -22, -14, -20, 34, 24, 3, -30, 16, -31, 4, -17, -4, 46, -8, -4, 42, 39, -7, 40, 6, -14, -23, -16, -11, 4, -17, -9, -13, -5, 23, -20, -10, -20, -11, -22, 2, 20, -6, 11, 22, -26, -22, -15, 1, 20, -21, -3, -14, -39, 18, -20, 44, 13, -1, 0, 0, -6, 11, 42, -24, 39, -4, 1, 33, 32, -10, 24, -2, -20, 2, -19, -31, -13, 19, 10, 12, 6, 28, -8, -37, -7, 20, -24, 0, 5, -67, -15, 31, 34, 12, -14, -30, -21, -17, 38, 23, 9, -21, -16, -7, 16, 0, 48, 0, 5, -27, 40, 0, 21, 0, 0, 0, 32, 0, 17, -17, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
